Name,Score
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,0.2313698187860565
Akira,0.23104046870979053
Hibike! Euphonium 2,0.23067343161345683
Megalo Box,0.23063721335951015
New Game!,0.23051985386116428
Majo no Takkyuubin,0.22995565516078326
Tonikaku Kawaii,0.22853053407961083
Durarara!!x2 Ketsu,0.22768356694305628
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,0.2274503166269327
Ore wo Suki nano wa Omae dake ka yo,0.22679988997783318
Lovely★Complex,0.22627053387121007
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,0.22621361445302174
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",0.2257856666422165
Isekai Maou to Shoukan Shoujo no Dorei Majutsu,0.22518809611476198
Gake no Ue no Ponyo,0.22509542267060814
"Yosuga no Sora: In Solitude, Where We Are Least Alone.",0.22509429158958716
Ballroom e Youkoso,0.2247968368251798
Pokemon,0.22465386529700804
Hataraku Saibou (TV),0.2245068310627518
Fuuka,0.2243751607677665
Owarimonogatari 2nd Season,0.223940173355686
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,0.22314596240005496
Darker than Black: Kuro no Keiyakusha,0.22294928514630355
Ping Pong the Animation,0.2226938042908304
Higurashi no Naku Koro ni,0.22256819318160698
Omoide no Marnie,0.22232946140181328
Dragon Ball Super,0.22205289638650683
Kamisama Hajimemashita◎,0.22199685811220018
K-On! Movie,0.22185962836772502
Watashi ga Motete Dousunda,0.22178995663333045
D-Frag!,0.221659319928251
Black Lagoon,0.2214943280785889
Gokukoku no Brynhildr,0.2211900871818819
Mikakunin de Shinkoukei,0.22108950707634667
Inu x Boku SS,0.22091256616926774
Tamako Market,0.220912563887975
Yuru Camp△,0.22059337744445257
Gosick,0.2203935802849052
Gabriel DropOut,0.21976149575643444
Tokyo Ravens,0.21971267763470326
Corpse Party: Tortured Souls - Bougyakusareta Tamashii no Jukyou,0.2196935121460714
Zero no Tsukaima: Futatsuki no Kishi,0.2184273070524597
Grisaia no Meikyuu: Caprice no Mayu 0,0.21834011375499696
Sakasama no Patema,0.21622506411178244
Kaze Tachinu,0.2161200195399771
Toaru Majutsu no Index,0.21607792408326842
Higashi no Eden,0.2155460044951366
Zero no Tsukaima F,0.21540340699827118
Zutto Mae kara Suki deshita.: Kokuhaku Jikkou Iinkai,0.21503088384618238
To LOVE-Ru,0.21486465500592528
Bokutachi wa Benkyou ga Dekinai,0.21450822220709315
Yesterday wo Utatte,0.21433100513112568
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,0.2123160085332702
Angel Beats! Specials,0.21179498733168775
Shiki,0.21077681137936596
Hellsing Ultimate,0.2107060120711584
Baka to Test to Shoukanjuu Ni!,0.21005456324343183
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e",0.2095788169449672
Demi-chan wa Kataritai,0.20951807366986466
Given,0.20923036076318718
Asobi Asobase,0.20922990422308746
Quanzhi Gaoshou,0.20899070234516132
Great Teacher Onizuka,0.20887125857913708
Drifters,0.20838685481691463
Noragami Aragoto OVA,0.20837780894412872
Hyouka: Motsubeki Mono wa,0.20837535330048873
FLCL,0.2082804673976561
Angel Beats!: Another Epilogue,0.2082695268579156
Shuumatsu Nani Shitemasu ka? Isogashii Desu ka? Sukutte Moratte Ii Desu ka?,0.2079277043987301
Non Non Biyori,0.20775571559232753
Banana Fish,0.20688562252589301
Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,0.2068649443949759
Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,0.20650979185172827
Darwin's Game,0.20636060435695142
Kuroko no Basket Movie 4: Last Game,0.20556548858150508
Houseki no Kuni (TV),0.2053798353381047
Tasogare Otome x Amnesia,0.20531474337129454
Soredemo Sekai wa Utsukushii,0.20514236068380715
Isekai wa Smartphone to Tomo ni.,0.2050555809529378
IS: Infinite Stratos 2,0.2048804425499518
Arslan Senki (TV),0.2039282783613241
Zero no Tsukaima: Princesses no Rondo,0.20367772263667108
Shingeki no Bahamut: Genesis,0.20342926838097353
Gin no Saji,0.2027208023307305
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",0.2026825581319572
Seireitsukai no Blade Dance,0.2025547821662337
Monster,0.20240686459575957
3D Kanojo: Real Girl,0.20236578315217935
Kotoura-san,0.20232397271115102
Rosario to Vampire,0.20168073080643611
Araburu Kisetsu no Otome-domo yo.,0.20078232474078875
Shikioriori,0.2007570482054413
Karakai Jouzu no Takagi-san 2,0.20069543763343795
Death Billiards,0.20041109905428006
Dragon Ball GT,0.20040860822254689
Kenja no Mago,0.19974004024133948
Tenkuu no Shiro Laputa,0.1997376982046299
